Element,Branch_ID,P,Q,V,xi,R,L,Filename
Y11,c,-0.3,-1.0,0.9,0.526,2.8050421461173958,0.0272106418259312,iP01_iV01_iQ01_iX11__P-300m_Q-1000m_V+900m_xi+526md.csv
Y11,d,-0.3,-1.0,0.9,0.526,265.17519781136787,17.848449351765918,iP01_iV01_iQ01_iX11__P-300m_Q-1000m_V+900m_xi+526md.csv
Y11,e,-0.3,-1.0,0.9,0.526,5864.876892385362,430.4471632408784,iP01_iV01_iQ01_iX11__P-300m_Q-1000m_V+900m_xi+526md.csv
Y11,f,-0.3,-1.0,0.9,0.526,-127.03167011138072,-12.43802060688538,iP01_iV01_iQ01_iX11__P-300m_Q-1000m_V+900m_xi+526md.csv
Y11,a,-0.3,-1.0,0.9,1.579,-20.024529582425856,-0.0234243287544964,iP01_iV01_iQ01_iX12__P-300m_Q-1000m_V+900m_xi+1579md.csv
Y11,b,-0.3,-1.0,0.9,1.579,13.106179965855317,0.0620044227797578,iP01_iV01_iQ01_iX12__P-300m_Q-1000m_V+900m_xi+1579md.csv
Y11,c,-0.3,-1.0,0.9,1.579,3.0167080773404837,0.0292639321300491,iP01_iV01_iQ01_iX12__P-300m_Q-1000m_V+900m_xi+1579md.csv
Y11,d,-0.3,-1.0,0.9,1.579,281.5305428325348,18.949297231742733,iP01_iV01_iQ01_iX12__P-300m_Q-1000m_V+900m_xi+1579md.csv
Y11,e,-0.3,-1.0,0.9,1.579,1907.6428377766915,140.00967159601035,iP01_iV01_iQ01_iX12__P-300m_Q-1000m_V+900m_xi+1579md.csv
Y11,f,-0.3,-1.0,0.9,1.579,-125.95024299999794,-12.332135100073078,iP01_iV01_iQ01_iX12__P-300m_Q-1000m_V+900m_xi+1579md.csv
Y11,a,-0.3,-1.0,0.9,2.632,-18.67607102729518,-0.0218469265799696,iP01_iV01_iQ01_iX13__P-300m_Q-1000m_V+900m_xi+2632md.csv
Y11,b,-0.3,-1.0,0.9,2.632,7.891540378018042,0.0373343268028463,iP01_iV01_iQ01_iX13__P-300m_Q-1000m_V+900m_xi+2632md.csv
Y11,c,-0.3,-1.0,0.9,2.632,3.2650399685739657,0.0316729048991976,iP01_iV01_iQ01_iX13__P-300m_Q-1000m_V+900m_xi+2632md.csv
Y11,d,-0.3,-1.0,0.9,2.632,300.2320682333184,20.208062138266435,iP01_iV01_iQ01_iX13__P-300m_Q-1000m_V+900m_xi+2632md.csv
Y11,e,-0.3,-1.0,0.9,2.632,1118.037112448844,82.0572942003158,iP01_iV01_iQ01_iX13__P-300m_Q-1000m_V+900m_xi+2632md.csv
Y11,f,-0.3,-1.0,0.9,2.632,-124.9718031950421,-12.236333364343492,iP01_iV01_iQ01_iX13__P-300m_Q-1000m_V+900m_xi+2632md.csv
Y11,a,-0.3,-1.0,0.9,3.684,-17.510717669904526,-0.0204837175194865,iP01_iV01_iQ01_iX14__P-300m_Q-1000m_V+900m_xi+3684md.csv
Y11,b,-0.3,-1.0,0.9,3.684,5.659380553071878,0.026774134446376,iP01_iV01_iQ01_iX14__P-300m_Q-1000m_V+900m_xi+3684md.csv
Y11,c,-0.3,-1.0,0.9,3.684,3.5600070034196545,0.0345342673734668,iP01_iV01_iQ01_iX14__P-300m_Q-1000m_V+900m_xi+3684md.csv
Y11,d,-0.3,-1.0,0.9,3.684,321.7893100909097,21.65904000455866,iP01_iV01_iQ01_iX14__P-300m_Q-1000m_V+900m_xi+3684md.csv
Y11,e,-0.3,-1.0,0.9,3.684,780.8477491059048,57.30959443529991,iP01_iV01_iQ01_iX14__P-300m_Q-1000m_V+900m_xi+3684md.csv
Y11,f,-0.3,-1.0,0.9,3.684,-124.09328216556986,-12.150314951229184,iP01_iV01_iQ01_iX14__P-300m_Q-1000m_V+900m_xi+3684md.csv
Y11,a,-0.3,-1.0,0.9,5.789,-15.603363282352758,-0.0182525292140915,iP01_iV01_iQ01_iX16__P-300m_Q-1000m_V+900m_xi+5789md.csv
Y11,b,-0.3,-1.0,0.9,5.789,3.635393733378662,0.0171987940500239,iP01_iV01_iQ01_iX16__P-300m_Q-1000m_V+900m_xi+5789md.csv
Y11,c,-0.3,-1.0,0.9,5.789,4.351819928636064,0.0422153419452092,iP01_iV01_iQ01_iX16__P-300m_Q-1000m_V+900m_xi+5789md.csv
Y11,d,-0.3,-1.0,0.9,5.789,376.3741411835802,25.33304345562512,iP01_iV01_iQ01_iX16__P-300m_Q-1000m_V+900m_xi+5789md.csv
Y11,e,-0.3,-1.0,0.9,5.789,476.40060933428026,34.96497960573503,iP01_iV01_iQ01_iX16__P-300m_Q-1000m_V+900m_xi+5789md.csv
Y11,f,-0.3,-1.0,0.9,5.789,-122.62543256641555,-12.006593755441369,iP01_iV01_iQ01_iX16__P-300m_Q-1000m_V+900m_xi+5789md.csv
Y11,a,-0.3,-1.0,0.9,7.895,-14.115588589770809,-0.0165121575679958,iP01_iV01_iQ01_iX18__P-300m_Q-1000m_V+900m_xi+7895md.csv
Y11,b,-0.3,-1.0,0.9,7.895,2.696176443263069,0.0127554225954806,iP01_iV01_iQ01_iX18__P-300m_Q-1000m_V+900m_xi+7895md.csv
Y11,c,-0.3,-1.0,0.9,7.895,5.604286762044396,0.0543650440271913,iP01_iV01_iQ01_iX18__P-300m_Q-1000m_V+900m_xi+7895md.csv
Y11,d,-0.3,-1.0,0.9,7.895,454.0568965257145,30.56172520880652,iP01_iV01_iQ01_iX18__P-300m_Q-1000m_V+900m_xi+7895md.csv
Y11,e,-0.3,-1.0,0.9,7.895,336.1308129122823,24.6700083264078,iP01_iV01_iQ01_iX18__P-300m_Q-1000m_V+900m_xi+7895md.csv
Y11,f,-0.3,-1.0,0.9,7.895,-121.52874064149248,-11.899213629511465,iP01_iV01_iQ01_iX18__P-300m_Q-1000m_V+900m_xi+7895md.csv
Y11,a,-0.3,-1.0,0.9,6.842,-14.815526319353964,-0.0173309319326042,iP01_iV01_iQ01_iX17__P-300m_Q-1000m_V+900m_xi+6842md.csv
Y11,b,-0.3,-1.0,0.9,6.842,3.092754742135442,0.014631606851505,iP01_iV01_iQ01_iX17__P-300m_Q-1000m_V+900m_xi+6842md.csv
Y11,c,-0.3,-1.0,0.9,6.842,4.898955338163747,0.0475228934483288,iP01_iV01_iQ01_iX17__P-300m_Q-1000m_V+900m_xi+6842md.csv
Y11,d,-0.3,-1.0,0.9,6.842,411.5260668089432,27.699054176127984,iP01_iV01_iQ01_iX17__P-300m_Q-1000m_V+900m_xi+6842md.csv
Y11,e,-0.3,-1.0,0.9,6.842,395.2337186058604,29.007811122794266,iP01_iV01_iQ01_iX17__P-300m_Q-1000m_V+900m_xi+6842md.csv
Y11,f,-0.3,-1.0,0.9,6.842,-122.0316231872002,-11.948452244201285,iP01_iV01_iQ01_iX17__P-300m_Q-1000m_V+900m_xi+6842md.csv
Y11,a,-0.3,-1.0,0.9,4.737,-16.49505509596913,-0.0192956140018698,iP01_iV01_iQ01_iX15__P-300m_Q-1000m_V+900m_xi+4737md.csv
Y11,b,-0.3,-1.0,0.9,4.737,4.421416828762814,0.0209174144602289,iP01_iV01_iQ01_iX15__P-300m_Q-1000m_V+900m_xi+4737md.csv
Y11,c,-0.3,-1.0,0.9,4.737,3.9155571277902217,0.0379833232455162,iP01_iV01_iQ01_iX15__P-300m_Q-1000m_V+900m_xi+4737md.csv
Y11,d,-0.3,-1.0,0.9,4.737,346.87131108684554,23.347262824410784,iP01_iV01_iQ01_iX15__P-300m_Q-1000m_V+900m_xi+4737md.csv
Y11,e,-0.3,-1.0,0.9,4.737,594.3925358271591,43.62488728515821,iP01_iV01_iQ01_iX15__P-300m_Q-1000m_V+900m_xi+4737md.csv
Y11,f,-0.3,-1.0,0.9,4.737,-123.31195722979724,-12.073813275651972,iP01_iV01_iQ01_iX15__P-300m_Q-1000m_V+900m_xi+4737md.csv
Y11,a,-0.3,-1.0,0.9,8.947,-13.490735609558357,-0.0157812159710172,iP01_iV01_iQ01_iX19__P-300m_Q-1000m_V+900m_xi+8947md.csv
Y11,b,-0.3,-1.0,0.9,8.947,2.3941374244761224,0.0113264970759441,iP01_iV01_iQ01_iX19__P-300m_Q-1000m_V+900m_xi+8947md.csv
Y11,c,-0.3,-1.0,0.9,8.947,6.546530843274296,0.0635053937515045,iP01_iV01_iQ01_iX19__P-300m_Q-1000m_V+900m_xi+8947md.csv
Y11,d,-0.3,-1.0,0.9,8.947,506.4829208722928,34.09042338709848,iP01_iV01_iQ01_iX19__P-300m_Q-1000m_V+900m_xi+8947md.csv
Y11,e,-0.3,-1.0,0.9,8.947,291.2798671836132,21.378214881853676,iP01_iV01_iQ01_iX19__P-300m_Q-1000m_V+900m_xi+8947md.csv
Y11,f,-0.3,-1.0,0.9,8.947,-121.1152812951469,-11.858730686525726,iP01_iV01_iQ01_iX19__P-300m_Q-1000m_V+900m_xi+8947md.csv
Y11,a,-0.3,-0.5,0.9,-10.0,-38.4418804727316,-0.0449686092463621,iP01_iV01_iQ02_iX01__P-300m_Q-500m_V+900m_xi-10000md.csv
Y11,b,-0.3,-0.5,0.9,-10.0,-4.004326235608796,-0.0189441879714459,iP01_iV01_iQ02_iX01__P-300m_Q-500m_V+900m_xi-10000md.csv
Y11,c,-0.3,-0.5,0.9,-10.0,2.113535281931573,0.0205025980171859,iP01_iV01_iQ02_iX01__P-300m_Q-500m_V+900m_xi-10000md.csv
Y11,d,-0.3,-0.5,0.9,-10.0,209.6036568064071,14.108032312427508,iP01_iV01_iQ02_iX01__P-300m_Q-500m_V+900m_xi-10000md.csv
Y11,e,-0.3,-0.5,0.9,-10.0,-1253.6398279138416,-92.00972866467517,iP01_iV01_iQ02_iX01__P-300m_Q-500m_V+900m_xi-10000md.csv
Y11,f,-0.3,-0.5,0.9,-10.0,-137.73114402244315,-13.48563555802222,iP01_iV01_iQ02_iX01__P-300m_Q-500m_V+900m_xi-10000md.csv
Y11,a,-0.3,-1.0,0.9,10.0,-12.930560640311835,-0.015125933529267,iP01_iV01_iQ01_iX20__P-300m_Q-1000m_V+900m_xi+10000md.csv
Y11,b,-0.3,-1.0,0.9,10.0,2.1568120869015592,0.010203727466061,iP01_iV01_iQ01_iX20__P-300m_Q-1000m_V+900m_xi+10000md.csv
Y11,c,-0.3,-1.0,0.9,10.0,7.866998178925821,0.0763147427172572,iP01_iV01_iQ01_iX20__P-300m_Q-1000m_V+900m_xi+10000md.csv
Y11,d,-0.3,-1.0,0.9,10.0,572.6108469697849,38.5413711358285,iP01_iV01_iQ01_iX20__P-300m_Q-1000m_V+900m_xi+10000md.csv
Y11,e,-0.3,-1.0,0.9,10.0,256.160246282227,18.800642992530147,iP01_iV01_iQ01_iX20__P-300m_Q-1000m_V+900m_xi+10000md.csv
Y11,f,-0.3,-1.0,0.9,10.0,-120.79001633479736,-11.826883098422387,iP01_iV01_iQ01_iX20__P-300m_Q-1000m_V+900m_xi+10000md.csv
Y11,a,-0.3,-0.5,0.9,-8.947,-35.69296094919111,-0.0417529734246059,iP01_iV01_iQ02_iX02__P-300m_Q-500m_V+900m_xi-8947md.csv
Y11,b,-0.3,-0.5,0.9,-8.947,-4.480135436557704,-0.0211952080959213,iP01_iV01_iQ02_iX02__P-300m_Q-500m_V+900m_xi-8947md.csv
Y11,c,-0.3,-0.5,0.9,-8.947,2.156928821598308,0.0209235421613104,iP01_iV01_iQ02_iX02__P-300m_Q-500m_V+900m_xi-8947md.csv
Y11,d,-0.3,-0.5,0.9,-8.947,213.1461710597895,14.346472340819744,iP01_iV01_iQ02_iX02__P-300m_Q-500m_V+900m_xi-8947md.csv
Y11,e,-0.3,-0.5,0.9,-8.947,-1264.7578379656468,-92.82572572509638,iP01_iV01_iQ02_iX02__P-300m_Q-500m_V+900m_xi-8947md.csv
Y11,f,-0.3,-0.5,0.9,-8.947,-136.2072399770203,-13.336425917567414,iP01_iV01_iQ02_iX02__P-300m_Q-500m_V+900m_xi-8947md.csv
Y11,a,-0.3,-0.5,0.9,-4.737,-27.83539094049233,-0.0325613316266001,iP01_iV01_iQ02_iX06__P-300m_Q-500m_V+900m_xi-4737md.csv
Y11,b,-0.3,-0.5,0.9,-4.737,-8.537122934925065,-0.0403885328264165,iP01_iV01_iQ02_iX06__P-300m_Q-500m_V+900m_xi-4737md.csv
Y11,c,-0.3,-0.5,0.9,-4.737,2.370147580126511,0.0229918958496537,iP01_iV01_iQ02_iX06__P-300m_Q-500m_V+900m_xi-4737md.csv
Y11,d,-0.3,-0.5,0.9,-4.737,230.49750248648897,15.514358191723236,iP01_iV01_iQ02_iX06__P-300m_Q-500m_V+900m_xi-4737md.csv
Y11,e,-0.3,-0.5,0.9,-4.737,-1723.6529184441126,-126.50590332450932,iP01_iV01_iQ02_iX06__P-300m_Q-500m_V+900m_xi-4737md.csv
Y11,f,-0.3,-0.5,0.9,-4.737,-131.2428842458029,-12.850352178143446,iP01_iV01_iQ02_iX06__P-300m_Q-500m_V+900m_xi-4737md.csv
Y11,a,-0.3,-0.5,0.9,-6.842,-31.252472430697587,-0.036558571106209,iP01_iV01_iQ02_iX04__P-300m_Q-500m_V+900m_xi-6842md.csv
Y11,b,-0.3,-0.5,0.9,-6.842,-5.879021017011049,-0.0278132381532611,iP01_iV01_iQ02_iX04__P-300m_Q-500m_V+900m_xi-6842md.csv
Y11,c,-0.3,-0.5,0.9,-6.842,2.254956859293192,0.0218744746905439,iP01_iV01_iQ02_iX04__P-300m_Q-500m_V+900m_xi-6842md.csv
Y11,d,-0.3,-0.5,0.9,-6.842,221.1411779194956,14.88460139121311,iP01_iV01_iQ02_iX04__P-300m_Q-500m_V+900m_xi-6842md.csv
Y11,e,-0.3,-0.5,0.9,-6.842,-1385.4256106246562,-101.68202416438062,iP01_iV01_iQ02_iX04__P-300m_Q-500m_V+900m_xi-6842md.csv
Y11,f,-0.3,-0.5,0.9,-6.842,-133.50692223774027,-13.072030371905608,iP01_iV01_iQ02_iX04__P-300m_Q-500m_V+900m_xi-6842md.csv
Y11,a,-0.3,-0.5,0.9,-5.789,-29.43825789296545,-0.0344363360949896,iP01_iV01_iQ02_iX05__P-300m_Q-500m_V+900m_xi-5789md.csv
Y11,b,-0.3,-0.5,0.9,-5.789,-6.964796222778916,-0.0329499648789438,iP01_iV01_iQ02_iX05__P-300m_Q-500m_V+900m_xi-5789md.csv
Y11,c,-0.3,-0.5,0.9,-5.789,2.3102225938291654,0.0224105864597688,iP01_iV01_iQ02_iX05__P-300m_Q-500m_V+900m_xi-5789md.csv
Y11,d,-0.3,-0.5,0.9,-5.789,225.63675563898357,15.187190364110478,iP01_iV01_iQ02_iX05__P-300m_Q-500m_V+900m_xi-5789md.csv
Y11,e,-0.3,-0.5,0.9,-5.789,-1515.0612732532952,-111.19651323106665,iP01_iV01_iQ02_iX05__P-300m_Q-500m_V+900m_xi-5789md.csv
Y11,f,-0.3,-0.5,0.9,-5.789,-132.3221997686014,-12.95603093283876,iP01_iV01_iQ02_iX05__P-300m_Q-500m_V+900m_xi-5789md.csv
Y11,a,-0.3,-0.5,0.9,-3.684,-26.410947319772006,-0.030895043510984,iP01_iV01_iQ02_iX07__P-300m_Q-500m_V+900m_xi-3684md.csv
Y11,b,-0.3,-0.5,0.9,-3.684,-11.013115013097917,-0.0521022785566237,iP01_iV01_iQ02_iX07__P-300m_Q-500m_V+900m_xi-3684md.csv
Y11,c,-0.3,-0.5,0.9,-3.684,2.435163538123168,0.0236225908103216,iP01_iV01_iQ02_iX07__P-300m_Q-500m_V+900m_xi-3684md.csv
Y11,d,-0.3,-0.5,0.9,-3.684,235.7521051639244,15.868035734645742,iP01_iV01_iQ02_iX07__P-300m_Q-500m_V+900m_xi-3684md.csv
Y11,e,-0.3,-0.5,0.9,-3.684,-2073.486674777936,-152.18162549912486,iP01_iV01_iQ02_iX07__P-300m_Q-500m_V+900m_xi-3684md.csv
Y11,f,-0.3,-0.5,0.9,-3.684,-130.26576707800052,-12.75467994543452,iP01_iV01_iQ02_iX07__P-300m_Q-500m_V+900m_xi-3684md.csv
Y11,a,-0.3,-0.5,0.9,-7.895,-33.31961577902616,-0.0389766776177555,iP01_iV01_iQ02_iX03__P-300m_Q-500m_V+900m_xi-7895md.csv
Y11,b,-0.3,-0.5,0.9,-7.895,-5.085149055304864,-0.0240574853042339,iP01_iV01_iQ02_iX03__P-300m_Q-500m_V+900m_xi-7895md.csv
Y11,c,-0.3,-0.5,0.9,-7.895,2.203970603437825,0.0213798765084647,iP01_iV01_iQ02_iX03__P-300m_Q-500m_V+900m_xi-7895md.csv
Y11,d,-0.3,-0.5,0.9,-7.895,216.98523468341293,14.604872584057889,iP01_iV01_iQ02_iX03__P-300m_Q-500m_V+900m_xi-7895md.csv
Y11,e,-0.3,-0.5,0.9,-7.895,-1306.5722014278258,-95.89465136931008,iP01_iV01_iQ02_iX03__P-300m_Q-500m_V+900m_xi-7895md.csv
