Filename,Element,P,Q,V,xi,R_a,R_b,R_c,R_d,R_e,R_f,L_a,L_b,L_c,L_d,L_e,L_f
iP01_iV01_iQ04_iX03__P-300m_Q+500m_V+900m_xi-7895md.csv,Y11,-0.3,0.5,0.9,-7.895,-17.472368365566872,5.503172026203463,3.700979436881695,332.839886690129,578.6252336799818,-125.6524712519578,-0.0204388572041111,0.0260351228070587,0.0359017870735091,22.40283372943364,42.467660734316,-12.302979448446296
iP01_iV01_iQ04_iX04__P-300m_Q+500m_V+900m_xi-6842md.csv,Y11,-0.3,0.5,0.9,-6.842,-17.965041628865723,6.294899240039529,3.5222935540499485,319.7626828523506,691.4837159579804,-125.63107228322647,-0.0210151773838465,0.0297807290035881,0.0341684236144916,21.522631483106583,50.75080421053198,-12.300884216155316
iP01_iV01_iQ04_iX05__P-300m_Q+500m_V+900m_xi-5789md.csv,Y11,-0.3,0.5,0.9,-5.789,-18.50174186839398,7.378848199013501,3.3615834774496345,307.82606648379266,847.9107644935198,-125.69582477195247,-0.0216429995157763,0.034908815883136,0.0326094365817147,20.719200022578512,62.23162182671867,-12.307224310809422
iP01_iV01_iQ04_iX06__P-300m_Q+500m_V+900m_xi-4737md.csv,Y11,-0.3,0.5,0.9,-4.737,-19.08713290450253,8.949661508376206,3.216476417035898,296.9042115071143,1077.347613437971,-125.84690770811444,-0.0223277792517146,0.0423402240276548,0.0312018084457888,19.9840702788324,79.07092597249141,-12.322017257066298
iP01_iV01_iQ04_iX07__P-300m_Q+500m_V+900m_xi-3684md.csv,Y11,-0.3,0.5,0.9,-3.684,-19.726608754831844,11.424448370999436,3.0850020301451786,286.8894364841506,1442.9738597296223,-126.0847395722088,-0.0230758264149209,0.0540482679672045,0.0299264256655623,19.309994381441346,105.90572352836848,-12.345304030092423
iP01_iV01_iQ04_iX08__P-300m_Q+500m_V+900m_xi-2632md.csv,Y11,-0.3,0.5,0.9,-2.632,-20.42643745524016,15.887716228507609,2.96551108977527,277.6890383973507,2109.2156245248348,-126.40998047185676,-0.023894473239193,0.0751636767237769,0.0287672897201899,18.69073270066526,154.80391761900754,-12.377149262071946
iP01_iV01_iQ04_iX09__P-300m_Q+500m_V+900m_xi-1579md.csv,Y11,-0.3,0.5,0.9,-1.579,-21.193940539723695,26.316029224703595,2.8566131194129496,269.22285802023254,3679.297250552381,-126.82353638661208,-0.0247922843211977,0.1244992977499159,0.0277109121284304,18.120889853918342,270.0385982189392,-12.417641660259497
iP01_iV01_iQ04_iX10__P-300m_Q+500m_V+900m_xi-526md.csv,Y11,-0.3,0.5,0.9,-0.526,-22.037718904061112,78.49856893236309,2.757128029979709,261.42125549858014,11583.472057527417,-127.32656448394688,-0.0257793208316342,0.3713712514530074,0.0267458452971401,17.595778490002296,850.1581183890386,-12.4668945266068
iP01_iV01_iQ04_iX11__P-300m_Q+500m_V+900m_xi+526md.csv,Y11,-0.3,0.5,0.9,0.526,-22.96793963235295,-78.08903428116206,2.666048226056753,254.22344878819644,-12191.64383130159,-127.92047984863916,-0.0268674760396786,-0.369433771598276,0.0258623149282459,17.111307527323046,-894.794322942174,-12.525046414805326
iP01_iV01_iQ04_iX12__P-300m_Q+500m_V+900m_xi+1579md.csv,Y11,-0.3,0.5,0.9,1.579,-23.996703851315512,-25.90619554571918,2.582508631891697,247.57625418080391,-4291.087828628836,-128.60696467663723,-0.0280709056222141,-0.1225604032156438,0.025051929252488,16.66389719644785,-314.9404073698704,-12.592262035177995
iP01_iV01_iQ04_iX13__P-300m_Q+500m_V+900m_xi+2632md.csv,Y11,-0.3,0.5,0.9,2.632,-25.138523599263763,-15.477283587186902,2.505762773489468,241.43287321766883,-2728.363994247898,-129.3879776502482,-0.0294065854964514,-0.0732219485404835,0.0243074470109301,16.250397666542625,-200.245737057568,-12.66873316550944
iP01_iV01_iQ04_iX14__P-300m_Q+500m_V+900m_xi+3684md.csv,Y11,-0.3,0.5,0.9,3.684,-26.410947319772006,-11.013115013097917,2.435163538123168,235.7521051639244,-2073.486674777936,-130.26576707800052,-0.030895043510984,-0.0521022785566237,0.0236225908103216,15.868035734645742,-152.18162549912486,-12.75467994543452
iP01_iV01_iQ04_iX15__P-300m_Q+500m_V+900m_xi+4737md.csv,Y11,-0.3,0.5,0.9,4.737,-27.83539094049233,-8.537122934925065,2.370147580126511,230.49750248648897,-1723.6529184441126,-131.2428842458029,-0.0325613316266001,-0.0403885328264165,0.0229918958496537,15.514358191723236,-126.50590332450932,-12.850352178143446
iP01_iV01_iQ04_iX16__P-300m_Q+500m_V+900m_xi+5789md.csv,Y11,-0.3,0.5,0.9,5.789,-29.43825789296545,-6.964796222778916,2.3102225938291654,225.63675563898357,-1515.0612732532952,-132.3221997686014,-0.0344363360949896,-0.0329499648789438,0.0224105864597688,15.187190364110478,-111.19651323106665,-12.95603093283876
iP01_iV01_iQ04_iX17__P-300m_Q+500m_V+900m_xi+6842md.csv,Y11,-0.3,0.5,0.9,6.842,-31.252472430697587,-5.879021017011049,2.254956859293192,221.1411779194956,-1385.4256106246562,-133.50692223774027,-0.036558571106209,-0.0278132381532611,0.0218744746905439,14.88460139121311,-101.68202416438062,-13.072030371905608
iP01_iV01_iQ04_iX18__P-300m_Q+500m_V+900m_xi+7895md.csv,Y11,-0.3,0.5,0.9,7.895,-33.31961577902616,-5.085149055304864,2.203970603437825,216.98523468341293,-1306.5722014278258,-134.80061899587082,-0.0389766776177555,-0.0240574853042339,0.0213798765084647,14.604872584057889,-95.89465136931008,-13.198699783632993
iP01_iV01_iQ04_iX19__P-300m_Q+500m_V+900m_xi+8947md.csv,Y11,-0.3,0.5,0.9,8.947,-35.69296094919111,-4.480135436557704,2.156928821598308,213.1461710597895,-1264.7578379656468,-136.2072399770203,-0.0417529734246059,-0.0211952080959213,0.0209235421613104,14.346472340819744,-92.82572572509638,-13.336425917567414
iP01_iV01_iQ04_iX20__P-300m_Q+500m_V+900m_xi+10000md.csv,Y11,-0.3,0.5,0.9,10.0,-38.4418804727316,-4.004326235608796,2.113535281931573,209.6036568064071,-1253.6398279138416,-137.73114402244315,-0.0449686092463621,-0.0189441879714459,0.0205025980171859,14.108032312427508,-92.00972866467517,-13.48563555802222
