Element,Branch_ID,P,Q,V,xi,R,L,Filename
Y22,a,-0.3,-1.0,0.9,3.684,79.07462879046966,0.0925000556594008,iP01_iV01_iQ01_iX14__P-300m_Q-1000m_V+900m_xi+3684md.csv
Y22,b,-0.3,-1.0,0.9,3.684,-1.7464598327020395,-0.0082623795886244,iP01_iV01_iQ01_iX14__P-300m_Q-1000m_V+900m_xi+3684md.csv
Y22,c,-0.3,-1.0,0.9,3.684,11.360483147158105,0.11020370525082,iP01_iV01_iQ01_iX14__P-300m_Q-1000m_V+900m_xi+3684md.csv
Y22,d,-0.3,-1.0,0.9,3.684,1295.169647757387,87.17546027791919,iP01_iV01_iQ01_iX14__P-300m_Q-1000m_V+900m_xi+3684md.csv
Y22,e,-0.3,-1.0,0.9,3.684,41.257403179900685,3.0280487284227537,iP01_iV01_iQ01_iX14__P-300m_Q-1000m_V+900m_xi+3684md.csv
Y22,f,-0.3,-1.0,0.9,3.684,4500.3661868782565,440.64324541811584,iP01_iV01_iQ01_iX14__P-300m_Q-1000m_V+900m_xi+3684md.csv
Y22,a,-0.3,-1.0,0.9,5.789,50.94984235646497,0.0596001944732332,iP01_iV01_iQ01_iX16__P-300m_Q-1000m_V+900m_xi+5789md.csv
Y22,b,-0.3,-1.0,0.9,5.789,-1.490396320026254,-0.0070509609800152,iP01_iV01_iQ01_iX16__P-300m_Q-1000m_V+900m_xi+5789md.csv
Y22,c,-0.3,-1.0,0.9,5.789,7.187324636655263,0.0697214894419399,iP01_iV01_iQ01_iX16__P-300m_Q-1000m_V+900m_xi+5789md.csv
Y22,d,-0.3,-1.0,0.9,5.789,817.800359156381,55.04462121702736,iP01_iV01_iQ01_iX16__P-300m_Q-1000m_V+900m_xi+5789md.csv
Y22,e,-0.3,-1.0,0.9,5.789,42.6991682503005,3.133865734577578,iP01_iV01_iQ01_iX16__P-300m_Q-1000m_V+900m_xi+5789md.csv
Y22,f,-0.3,-1.0,0.9,5.789,3138.088191144506,307.25885568890493,iP01_iV01_iQ01_iX16__P-300m_Q-1000m_V+900m_xi+5789md.csv
Y22,a,-0.3,-1.0,0.9,7.895,37.90454266567248,0.0443400412995859,iP01_iV01_iQ01_iX18__P-300m_Q-1000m_V+900m_xi+7895md.csv
Y22,b,-0.3,-1.0,0.9,7.895,-1.3041470243352329,-0.0061698285598482,iP01_iV01_iQ01_iX18__P-300m_Q-1000m_V+900m_xi+7895md.csv
Y22,c,-0.3,-1.0,0.9,7.895,5.249676967975391,0.0509251099400206,iP01_iV01_iQ01_iX18__P-300m_Q-1000m_V+900m_xi+7895md.csv
Y22,d,-0.3,-1.0,0.9,7.895,596.1764429027146,40.12752760199672,iP01_iV01_iQ01_iX18__P-300m_Q-1000m_V+900m_xi+7895md.csv
Y22,e,-0.3,-1.0,0.9,7.895,44.35828786277313,3.2556352753712576,iP01_iV01_iQ01_iX18__P-300m_Q-1000m_V+900m_xi+7895md.csv
Y22,f,-0.3,-1.0,0.9,7.895,2549.352750330593,249.6141475878436,iP01_iV01_iQ01_iX18__P-300m_Q-1000m_V+900m_xi+7895md.csv
Y22,a,-0.3,-1.0,0.9,6.842,43.41190184930201,0.0507824494248509,iP01_iV01_iQ01_iX17__P-300m_Q-1000m_V+900m_xi+6842md.csv
Y22,b,-0.3,-1.0,0.9,6.842,-1.3903846251453142,-0.0065778126310322,iP01_iV01_iQ01_iX17__P-300m_Q-1000m_V+900m_xi+6842md.csv
Y22,c,-0.3,-1.0,0.9,6.842,6.068049618880984,0.0588638302600541,iP01_iV01_iQ01_iX17__P-300m_Q-1000m_V+900m_xi+6842md.csv
Y22,d,-0.3,-1.0,0.9,6.842,689.7773506324842,46.4276305443984,iP01_iV01_iQ01_iX17__P-300m_Q-1000m_V+900m_xi+6842md.csv
Y22,e,-0.3,-1.0,0.9,6.842,43.49984955042994,3.192630993349241,iP01_iV01_iQ01_iX17__P-300m_Q-1000m_V+900m_xi+6842md.csv
Y22,f,-0.3,-1.0,0.9,6.842,2790.588021792129,273.2341571078383,iP01_iV01_iQ01_iX17__P-300m_Q-1000m_V+900m_xi+6842md.csv
Y22,a,-0.3,-1.0,0.9,4.737,61.87112498966004,0.0723757113096063,iP01_iV01_iQ01_iX15__P-300m_Q-1000m_V+900m_xi+4737md.csv
Y22,b,-0.3,-1.0,0.9,4.737,-1.6075595198015729,-0.0076052519017043,iP01_iV01_iQ01_iX15__P-300m_Q-1000m_V+900m_xi+4737md.csv
Y22,c,-0.3,-1.0,0.9,4.737,8.80814744436128,0.085444472051966,iP01_iV01_iQ01_iX15__P-300m_Q-1000m_V+900m_xi+4737md.csv
Y22,d,-0.3,-1.0,0.9,4.737,1003.2008009757476,67.52358010623016,iP01_iV01_iQ01_iX15__P-300m_Q-1000m_V+900m_xi+4737md.csv
Y22,e,-0.3,-1.0,0.9,4.737,41.95274277616137,3.0790825310737797,iP01_iV01_iQ01_iX15__P-300m_Q-1000m_V+900m_xi+4737md.csv
Y22,f,-0.3,-1.0,0.9,4.737,3659.466988891283,358.3084893450342,iP01_iV01_iQ01_iX15__P-300m_Q-1000m_V+900m_xi+4737md.csv
Y22,a,-0.3,-1.0,0.9,8.947,33.71164357861548,0.0394352645733527,iP01_iV01_iQ01_iX19__P-300m_Q-1000m_V+900m_xi+8947md.csv
Y22,b,-0.3,-1.0,0.9,8.947,-1.229141361490122,-0.0058149820033351,iP01_iV01_iQ01_iX19__P-300m_Q-1000m_V+900m_xi+8947md.csv
Y22,c,-0.3,-1.0,0.9,8.947,4.625986898279635,0.0448749309363395,iP01_iV01_iQ01_iX19__P-300m_Q-1000m_V+900m_xi+8947md.csv
Y22,d,-0.3,-1.0,0.9,8.947,524.8454726320118,35.326372671950566,iP01_iV01_iQ01_iX19__P-300m_Q-1000m_V+900m_xi+8947md.csv
Y22,e,-0.3,-1.0,0.9,8.947,45.27835222761064,3.323162543847463,iP01_iV01_iQ01_iX19__P-300m_Q-1000m_V+900m_xi+8947md.csv
Y22,f,-0.3,-1.0,0.9,8.947,2378.9889834481364,232.93336210235572,iP01_iV01_iQ01_iX19__P-300m_Q-1000m_V+900m_xi+8947md.csv
Y22,a,-0.3,-0.5,0.9,-10.0,-54.20552131586528,-0.0634086282219614,iP01_iV01_iQ02_iX01__P-300m_Q-500m_V+900m_xi-10000md.csv
Y22,b,-0.3,-0.5,0.9,-10.0,-6.841854556072956,-0.0323683364334665,iP01_iV01_iQ02_iX01__P-300m_Q-500m_V+900m_xi-10000md.csv
Y22,c,-0.3,-0.5,0.9,-10.0,-9.59525692357488,-0.0930799202916023,iP01_iV01_iQ02_iX01__P-300m_Q-500m_V+900m_xi-10000md.csv
Y22,d,-0.3,-0.5,0.9,-10.0,-1122.1000278450977,-75.52646593170773,iP01_iV01_iQ02_iX01__P-300m_Q-500m_V+900m_xi-10000md.csv
Y22,e,-0.3,-0.5,0.9,-10.0,37.99910262046012,2.7889087895620364,iP01_iV01_iQ02_iX01__P-300m_Q-500m_V+900m_xi-10000md.csv
Y22,f,-0.3,-0.5,0.9,-10.0,-1736.9318781707482,-170.06778288476767,iP01_iV01_iQ02_iX01__P-300m_Q-500m_V+900m_xi-10000md.csv
Y22,a,-0.3,-1.0,0.9,10.0,30.41865211247725,0.0355831833361353,iP01_iV01_iQ01_iX20__P-300m_Q-1000m_V+900m_xi+10000md.csv
Y22,b,-0.3,-1.0,0.9,10.0,-1.1634179187273752,-0.005504048982255,iP01_iV01_iQ01_iX20__P-300m_Q-1000m_V+900m_xi+10000md.csv
Y22,c,-0.3,-1.0,0.9,10.0,4.135487473242144,0.040116783473566,iP01_iV01_iQ01_iX20__P-300m_Q-1000m_V+900m_xi+10000md.csv
Y22,d,-0.3,-1.0,0.9,10.0,468.74937276407456,31.550648480499937,iP01_iV01_iQ01_iX20__P-300m_Q-1000m_V+900m_xi+10000md.csv
Y22,e,-0.3,-1.0,0.9,10.0,46.26432391995056,3.3955270185399136,iP01_iV01_iQ01_iX20__P-300m_Q-1000m_V+900m_xi+10000md.csv
