Element,P,Q,V,xi,R,L,Filename
Y11,-0.3,0.0,0.9,8.947,1620.0506560957522,118.902109992653,iP01_iV01_iQ03_iX19__P-300m_Q+0m_V+900m_xi+8947md.csv
Y11,-0.3,0.5,0.9,-7.895,578.6252336799818,42.467660734316,iP01_iV01_iQ04_iX03__P-300m_Q+500m_V+900m_xi-7895md.csv
Y11,-0.3,0.5,0.9,-4.737,1077.347613437971,79.07092597249141,iP01_iV01_iQ04_iX06__P-300m_Q+500m_V+900m_xi-4737md.csv
Y11,-0.3,0.0,0.9,10.0,1299.572173484638,95.38089058353204,iP01_iV01_iQ03_iX20__P-300m_Q+0m_V+900m_xi+10000md.csv
Y11,-0.3,0.5,0.9,-5.789,847.9107644935198,62.23162182671867,iP01_iV01_iQ04_iX05__P-300m_Q+500m_V+900m_xi-5789md.csv
Y11,-0.3,0.5,0.9,-2.632,2109.2156245248348,154.80391761900754,iP01_iV01_iQ04_iX08__P-300m_Q+500m_V+900m_xi-2632md.csv
Y11,-0.3,0.5,0.9,-6.842,691.4837159579804,50.75080421053198,iP01_iV01_iQ04_iX04__P-300m_Q+500m_V+900m_xi-6842md.csv
Y11,-0.3,0.5,0.9,-1.579,3679.297250552381,270.0385982189392,iP01_iV01_iQ04_iX09__P-300m_Q+500m_V+900m_xi-1579md.csv
Y11,-0.3,0.5,0.9,-3.684,1442.9738597296223,105.90572352836848,iP01_iV01_iQ04_iX07__P-300m_Q+500m_V+900m_xi-3684md.csv
Y11,-0.3,0.5,0.9,-0.526,11583.472057527417,850.1581183890386,iP01_iV01_iQ04_iX10__P-300m_Q+500m_V+900m_xi-526md.csv
Y11,-0.3,0.5,0.9,2.632,-2728.363994247898,-200.245737057568,iP01_iV01_iQ04_iX13__P-300m_Q+500m_V+900m_xi+2632md.csv
Y11,-0.3,0.5,0.9,0.526,-12191.64383130159,-894.794322942174,iP01_iV01_iQ04_iX11__P-300m_Q+500m_V+900m_xi+526md.csv
Y11,-0.3,0.5,0.9,1.579,-4291.087828628836,-314.9404073698704,iP01_iV01_iQ04_iX12__P-300m_Q+500m_V+900m_xi+1579md.csv
Y11,-0.3,0.5,0.9,3.684,-2073.486674777936,-152.18162549912486,iP01_iV01_iQ04_iX14__P-300m_Q+500m_V+900m_xi+3684md.csv
Y11,-0.3,0.5,0.9,5.789,-1515.0612732532952,-111.19651323106665,iP01_iV01_iQ04_iX16__P-300m_Q+500m_V+900m_xi+5789md.csv
Y11,-0.3,0.5,0.9,4.737,-1723.6529184441126,-126.50590332450932,iP01_iV01_iQ04_iX15__P-300m_Q+500m_V+900m_xi+4737md.csv
Y11,-0.3,0.5,0.9,6.842,-1385.4256106246562,-101.68202416438062,iP01_iV01_iQ04_iX17__P-300m_Q+500m_V+900m_xi+6842md.csv
